Tran_Date,Account,Tran_Amt,Merchant
1/1/2022,11737,88.96,CELEBRITY CRUISES
1/1/2022,12594,13.02,Fanatics
1/1/2022,13894,69.63,Vegepod
1/1/2022,15022,55.34,SHUTTERFLY
1/1/2022,16549,202,MACYS
1/1/2022,19548,56.3,THE CHILDRENS PLACE
1/2/2022,11066,82.91,MACYS
1/2/2022,12053,6.43,MASTERCUTS
1/2/2022,12594,29.51,GO PLAY GOLF
1/2/2022,14447,53.39,1-800-FLOWERS.COM
1/2/2022,14447,76.2,AEROPOSTALE
1/2/2022,14736,6.89,PLEASANT HOLIDAYS
1/2/2022,14736,37.21,SPAFINDER WELLNESS 365
1/2/2022,18789,11.74,ADIDAS
1/2/2022,19548,59.03,MARSHALLS
1/2/2022,19548,80.85,MIRAVAL RESORT & SPA
1/2/2022,19548,136.26,JOHNSTON & MURPHY
1/3/2022,11066,69.31,CRATE AND BARREL
1/3/2022,11737,27.35,HOMEGOODS
1/3/2022,12594,88.58,PRO AM GOLF USA
1/3/2022,14736,32.66,BODY BASICS FITNESS EQUIPMENT
1/3/2022,15169,5.65,CRUTCHFIELD
1/3/2022,15191,53.85,GUITAR CENTER
1/3/2022,15191,59.97,CABELAS
1/4/2022,11066,77.44,CRUTCHFIELD
1/4/2022,13202,6.81,BODY BASICS FITNESS EQUIPMENT
1/4/2022,13202,9.7,BASS PRO SHOPS
1/4/2022,17938,61.61,MIRAVAL RESORT & SPA
1/4/2022,19532,33,SIERRA
1/5/2022,13202,56.33,MACYS
1/5/2022,14447,288.71,LANDS END
1/5/2022,15022,283.74,EXPRESS/EXPRESS MEN
1/5/2022,18789,31.04,CRATE AND BARREL
1/6/2022,11066,169.57,SIERRA
1/6/2022,11737,151.56,UNDER ARMOUR
1/6/2022,14736,17.72,UNDERGROUND BY JOURNEYS
1/6/2022,17622,246.74,TOURNEAU WATCHES
1/6/2022,17938,17.13,ENCORE LAS VEGAS
1/6/2022,19548,8.36,MACYS
1/7/2022,14736,239.16,THE CHILDRENS PLACE
1/7/2022,16549,124.19,CB2
1/7/2022,17938,81.46,BROWN DERBY INTERNATIONAL WINE
1/7/2022,19532,57.17,OLD NAVY
1/8/2022,11066,10.34,Nautica
1/8/2022,11066,292.51,WILLIAMS-SONOMA
1/8/2022,13202,68.36,WEST ELM
1/8/2022,14447,8.15,CB2
1/8/2022,15022,13.62,UNDER ARMOUR
1/8/2022,19532,23.77,GO PLAY GOLF
1/9/2022,13894,6.98,EDDIE BAUER
1/9/2022,19202,82.93,CHAMPS
1/10/2022,13202,17.43,EDDIE BAUER
1/10/2022,13202,71.87,PBTEEN
